"No.","Protocol","Direction","CAN length","Time","CAN id","CAN message","Info"
"51","CAN","Broadcast","8","0.078000","0x18f","003e0000005f0000","STD: 0x0000018f   00 3e 00 00 00 5f 00 00"
"52","CAN","Broadcast","8","0.078000","0x260","00ffff0000005f3d","STD: 0x00000260   00 ff ff 00 00 00 5f 3d"
"53","CAN","Broadcast","8","0.078000","0x2a0","e000750000000000","STD: 0x000002a0   e0 00 75 00 00 00 00 00"
"54","CAN","Broadcast","8","0.078000","0x329","80787c0a1131000a","STD: 0x00000329   80 78 7c 0a 11 31 00 0a"
"55","CAN","Broadcast","8","0.078000","0x545","d700007a69015304","STD: 0x00000545   d7 00 00 7a 69 01 53 04"
"56","CAN","Broadcast","8","0.078000","0x690","0000000000001800","STD: 0x00000690   00 00 00 00 00 00 18 00"
"57","CAN","Broadcast","8","0.078000","0x316","31770000ff35007f","STD: 0x00000316   31 77 00 00 ff 35 00 7f"
"58","CAN","Broadcast","8","0.078000","0x18f","003e0000005f0000","STD: 0x0000018f   00 3e 00 00 00 5f 00 00"
"59","CAN","Broadcast","8","0.094000","0x260","00ffff0000005f00","STD: 0x00000260   00 ff ff 00 00 00 5f 00"
"60","CAN","Broadcast","8","0.094000","0x2a0","8000750000000000","STD: 0x000002a0   80 00 75 00 00 00 00 00"
"61","CAN","Broadcast","8","0.094000","0x329","80787c0a1131000a","STD: 0x00000329   80 78 7c 0a 11 31 00 0a"
"62","CAN","Broadcast","8","0.094000","0x545","d700007a69015304","STD: 0x00000545   d7 00 00 7a 69 01 53 04"
"63","CAN","Broadcast","8","0.094000","0x580","0000000000000000","STD: 0x00000580   00 00 00 00 00 00 00 00"
"64","CAN","Broadcast","8","0.094000","0x316","31770000ff35007f","STD: 0x00000316   31 77 00 00 ff 35 00 7f"
"65","CAN","Broadcast","8","0.094000","0x18f","003e0000005f0000","STD: 0x0000018f   00 3e 00 00 00 5f 00 00"
"66","CAN","Broadcast","8","0.094000","0x260","00ffff0000005f1f","STD: 0x00000260   00 ff ff 00 00 00 5f 1f"
"67","CAN","Broadcast","8","0.094000","0x2a0","2000750000000000","STD: 0x000002a0   20 00 75 00 00 00 00 00"
"68","CAN","Broadcast","8","0.094000","0x329","80787c0a1131000a","STD: 0x00000329   80 78 7c 0a 11 31 00 0a"
"69","CAN","Broadcast","8","0.094000","0x545","d700007a69015304","STD: 0x00000545   d7 00 00 7a 69 01 53 04"
"70","CAN","Broadcast","8","0.094000","0x316","31770000ff35007f","STD: 0x00000316   31 77 00 00 ff 35 00 7f"
"71","CAN","Broadcast","8","0.109000","0x18f","003e0000005f0000","STD: 0x0000018f   00 3e 00 00 00 5f 00 00"
"72","CAN","Broadcast","8","0.109000","0x260","00ffff0000005f2e","STD: 0x00000260   00 ff ff 00 00 00 5f 2e"
"73","CAN","Broadcast","8","0.109000","0x2a0","4000750000000000","STD: 0x000002a0   40 00 75 00 00 00 00 00"
"74","CAN","Broadcast","8","0.109000","0x329","80787c0a1131000a","STD: 0x00000329   80 78 7c 0a 11 31 00 0a"
"75","CAN","Broadcast","8","0.109000","0x545","d700007a69015304","STD: 0x00000545   d7 00 00 7a 69 01 53 04"
"76","CAN","Broadcast","8","0.109000","0x2c0","3d00000000000000","STD: 0x000002c0   3d 00 00 00 00 00 00 00"
"77","CAN","Broadcast","8","0.109000","0x580","0000000000000000","STD: 0x00000580   00 00 00 00 00 00 00 00"
